name,address,postcode,lat,lon,expectedGrades,specialisation,notes
Chelsea Academy,"Chelsea, SW10",SW10,51.4782579,-0.1828470,,General academic curriculum — confirm current sixth-form subject list,"Fit: Verify First. Travel from Carshalton: ≈55–65 min. Worth a look for the Chelsea location; verify subjects directly Pro: Central, fashionable location in your preferred zone. Con: Less documented sixth-form specialism — verify before relying on it. Site: search ""Chelsea Academy sixth form"" — confirm URL on official site"
Richmond upon Thames College,"Twickenham, Richmond upon Thames",,51.4514854,-0.3424069,,"Applied Business, Computer Science, Economics, Psychology, Architecture, Graphics/Art, Law — the widest subject range on this list","Fit: Excellent Fit. Travel from Carshalton: ≈45–60 min. Excellent — the broadest match for Business + Computer Science + creativity/design together Pro: Huge subject choice, realistic entry, college environment (more independence). Con: College rather than a traditional school sixth form. Site: rutc.ac.uk"
Grey Court School,"Ham, Richmond upon Thames",,51.4381886,-0.3113117,,"Strong all-round academic results, rising A-level outcomes","Fit: Good Fit. Travel from Carshalton: ≈50–60 min. Strong general option in the Richmond area Pro: Outstanding, dedicated sixth-form centre. Con: Verify Business/Computer Science A-level availability directly. Site: greycourt.richmond.sch.uk"
Orleans Park School,Twickenham,,51.4494917,-0.3203131,,Good Russell Group progression,"Fit: Good Fit. Travel from Carshalton: ≈50–60 min. Solid option, but priority typically goes to internal students Pro: Strong results, good local reputation. Con: Limited external (non-sibling) sixth-form places. Site: orleanspark.school"
Waldegrave School,Twickenham,,51.4395559,-0.3523925,,Strong Russell Group progression,"Fit: Good Fit. Travel from Carshalton: ≈50–60 min. Good all-rounder if a girls'-school-plus-mixed-sixth-form setup works for you Pro: Consistently strong results. Con: Girls' school below sixth form. Site: search ""Waldegrave School sixth form"" — confirm URL on official site"
Christ's School,Richmond,,51.4590931,-0.2879997,,"Broad curriculum, wide-ranging enrichment","Fit: Good Fit. Travel from Carshalton: ≈50–60 min. Solid general option near Richmond Park Pro: Genuinely mixed, good pastoral reputation. Con: Some places reserved for Foundation (church-attendance) applicants. Site: christs.richmond.sch.uk"
Turing House School,Whitton / Twickenham,,51.4498614,-0.3706467,,"STEM-focused ethos (problem-solving, design, computing)","Fit: Good Fit. Travel from Carshalton: ≈50–60 min. Good STEM fit; newer, smaller sixth form (opened its 3rd cohort recently) Pro: Strong, modern STEM ethos; oversubscribed for good reason. Con: Sixth form is newer/smaller than more established options. Site: turinghouseschool.org.uk"
Richmond Park Academy,East Sheen,,51.4625693,-0.2588410,,General academic curriculum — verify current subject list,"Fit: Verify First. Travel from Carshalton: ≈45–60 min. Worth checking if other Richmond options are oversubscribed Pro: Genuinely mixed, decent location. Con: Less nationally known than Grey Court/Orleans Park. Site: richmondparkacademy.org"
Teddington School,Teddington,,51.4231397,-0.3109295,,General academic curriculum — verify current subject list,"Fit: Verify First. Travel from Carshalton: ≈50–65 min. Reasonable backup option in the Richmond/Twickenham area Pro: Genuinely mixed, has its own sixth form. Con: Less documented for Business/CS specialism. Site: teddingtonschool.org"
St Richard Reynolds Catholic High School,Twickenham,,51.4478619,-0.3350142,,General academic curriculum — verify current subject list,"Fit: Verify First. Travel from Carshalton: ≈50–60 min. Worth checking; Catholic character may or may not matter to you Pro: Genuinely mixed, has a sixth form. Con: Faith-school admissions criteria may apply for some places. Site: strichardreynolds.org.uk"
Raynes Park High School,Raynes Park / Wimbledon,,51.4034269,-0.2384079,,General academic curriculum — verify current subject list,"Fit: Good Fit. Travel from Carshalton: ≈30–45 min (tram/rail). One of the shortest commutes on this list Pro: Excellent commute for you, genuinely mixed. Con: Verify Business/CS/creative subject availability directly. Site: search ""Raynes Park High School sixth form"" — confirm URL on official site"
Ursuline High School,Wimbledon,,51.4164213,-0.2222241,,"Business, Computer Science, Economics, Media, Photography, Psychology — good creative + practical spread","Fit: Excellent Fit. Travel from Carshalton: ≈30–45 min (tram/rail). Strong fit and one of the best commutes on this list Pro: Outstanding, short commute, broad relevant subject offer. Con: Girls' school below sixth form. Site: ursulinehigh.merton.sch.uk"
RR6 — Rutlish School & Ricards Lodge Joint Sixth Form,Wimbledon / Merton,,51.4077982,-0.2075228,,General academic curriculum — verify current subject list,"Fit: Good Fit. Travel from Carshalton: ≈30–45 min (tram/rail). Genuinely co-ed at sixth-form level despite single-sex schools below it Pro: Excellent commute, genuinely co-ed 16+ provision. Con: Unusual joint-site structure — worth an open day visit to understand it. Site: search ""RR6 sixth form Wimbledon"" — confirm URL on official site"
Wimbledon College,Wimbledon,,51.4186675,-0.2209119,,General academic curriculum — verify current subject list,"Fit: Verify First. Travel from Carshalton: ≈30–45 min (tram/rail). Only consider once you've confirmed whether the sixth form is co-ed Pro: Very short commute. Con: Gender policy at sixth form unconfirmed — check before applying. Site: search ""Wimbledon College sixth form"" — confirm URL and gender policy"
Ashcroft Technology Academy,Putney,,51.4565305,-0.2075577,Approx 7x GCSE 4+/C incl some 6+/B,"Technology, Science and Maths specialism; offers both A-Levels and the International Baccalaureate; top ~4% of state sixth forms nationally for attainment","Fit: Excellent Fit. Travel from Carshalton: ≈40–55 min. Excellent for 'making things' — purpose-built technology facilities and a hands-on, rigorous STEM ethos Pro: Outstanding, top-tier results, purpose-built technology facilities, offers IB as well as A-Levels. Con: Oversubscribed and moderately selective at 16+ entry. Site: atacademy.org.uk"
